event_id,start_year,end_year,date_display,era,event_name,event_kind,region_culture,location,peoples_factions,named_figures,historical_summary,possible_gameplay_hooks,likely_household_effects,severity_1_to_5,date_precision,canon_status,source_url_1,source_url_2,research_notes,event_category,game_scope,affected_systems,implementation_priority,research_confidence,research_pass
GENS-HIST-0323,257,260,AD 257–260,Crisis of the Third Century,Valerianic persecution of Christians,Religion / Persecution,Empire-wide / Early Christianity,Empire-wide,Roman authorities; Christians,Valerian,"Imperial edicts targeted Christian clergy, assemblies, and property.",Confiscation; hiding clergy; martyrdom; apostasy.,Property; piety; legal risk,4,range,research_addition,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-late-antiquity-content.md,,,Religion & Culture,Imperial,Legal & Court; Religion; Construction & Estates; Culture & Education,High,High,v1
GENS-HIST-0324,257,263,AD 257–263,Crisis of the Third Century,Gothic raids in Greece and Asia Minor,War / Raid,Gothic / Hellenic,"Aegean, Greece, Asia Minor",Gothic raiders; Roman provinces,,Seaborne and overland raids struck Greek and Anatolian cities.,Raid defense; refugees; rebuilding; temple/art loss.,Security; trade; housing,4,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eusb.html,,,Conflict & Security,Regional,Economy & Finance; Religion; Military & Security; Settlement & Demographics; Construction & Estates; Culture & Education,High,High,v1
GENS-HIST-0325,258,258,14 September AD 258,Crisis of the Third Century,Cyprian of Carthage executed,Religion / Martyrdom,North African / Christian,Carthage,Roman provincial authorities; Christian community,Cyprian of Carthage,"During Valerian's persecution, the bishop Cyprian was tried before the proconsul and executed by the sword, becoming one of North Africa's most influential martyr figures.",Bishop arrested; congregation hides property; household attends execution; relic/memory cult.,Piety; legal risk; patronage; public order,4,exact,research_addition,https://assets.cambridge.org/97805215/83428/sample/9780521583428wsc00.pdf,,,Religion & Culture,Regional,Politics & Patronage; Legal & Court; Religion; Construction & Estates; Culture & Education,High,High,v5
GENS-HIST-0326,259,260,AD 259–260,Crisis of the Third Century,Battle of Edessa and capture of Valerian,War / Imperial Captivity,Roman / Sasanian,Edessa,Rome; Sasanian Persia,Valerian; Shapur I,"Shapur I captured Emperor Valerian alive, an unprecedented Roman humiliation.",Imperial panic; eastern vacuum; propaganda; loyalty crisis.,Stability; security; diplomacy,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-late-antiquity-content.md,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_Art_and_Identity_in_the_Ancient_Middle_East.pdf,,Conflict & Security,Regional,Politics & Patronage; Military & Security,Critical,High,repo
GENS-HIST-0327,260,260,AD 260,Crisis of the Third Century,Gallienus becomes sole emperor after Valerian's capture,Imperial Succession / Great Crisis,Roman,Empire-wide,Central Roman government; breakaway provincial regimes,Gallienus; Valerian,Valerian's capture by Shapur I left Gallienus as sole central emperor while western and eastern breakaway powers emerged.,Captured emperor news; legitimacy crisis; local usurper choice; disrupted commands.,Politics; security; diplomacy; military loyalty,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,,Politics & Government,Imperial,Politics & Patronage; Military & Security,Critical,High,v3
GENS-HIST-0328,260,260,AD 260,Crisis of the Third Century,Ingenuus and Regalianus launch Danubian usurpations,Military Revolt / Usurpation,Danubian / Roman,Pannonia and Moesia,Danubian armies; Gallienus regime,Ingenuus; Regalianus; Gallienus,Military commanders on the Danube were proclaimed emperors amid the vacuum after Valerian's capture and were rapidly defeated.,Local ruler changes twice; coinage; army purges; frontier weakened.,Politics; currency; security; military loyalty,4,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security,High,High,v4
GENS-HIST-0329,260,261,AD 260–261,Crisis of the Third Century,Macrianus and Quietus claim imperial power in the East,Civil War / Usurpation,Roman / Eastern,"Syria, Egypt and Asia Minor",Eastern Roman armies; Gallienus loyalists,Macrianus Major; Macrianus Minor; Quietus; Gallienus,"After Valerian's capture, the Macriani raised rival emperors in the East while Odaenathus and Gallienus's supporters contested them.",Eastern claimant tax; military recruitment; grain/allegiance split; purge after defeat.,Politics; security; taxes; trade,5,range,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security,Critical,High,v4
GENS-HIST-0330,260,267,AD 260–267,Crisis of the Third Century,Odaenathus of Palmyra restores Roman East,War / Regional Power,Palmyrene / Sasanian,Syria and Mesopotamia,Palmyra; Sasanian Persia; Rome,Odaenathus,Palmyrene ruler Odaenathus fought the Sasanians while remaining nominally loyal to Rome.,Local protector regime; caravan security; military patronage.,Trade; security; diplomacy,4,range,research_addition,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_Art_and_Identity_in_the_Ancient_Middle_East.pdf,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security; Travel & Trade Routes,High,High,v1
GENS-HIST-0331,260,274,AD 260–274,Crisis of the Third Century,Gallic Empire breakaway state,Breakaway State / Civil War,Gallic / Roman,"Gaul, Germania, Britannia; briefly Hispania",Gallic imperial regime; central Rome,Postumus; successors,Western provinces formed a durable breakaway Roman state during the Crisis.,Household allegiance to local vs central emperor; separate coinage/taxes.,Currency; loyalty; trade; security,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-late-antiquity-content.md,https://www.worldhistory.org/timeline/Crisis_of_the_Third_Century/,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security,Critical,High,repo
GENS-HIST-0332,262,262,AD 262,Crisis of the Third Century,Gallienus stages Secular Games amid the third-century crisis,Religion / Festival,Roman,Rome,Roman state cult; urban populace,Gallienus,"A special Secular Games celebration was held under Gallienus during a period of plague, invasion, and political fragmentation.",Crisis festival; public morale; sacrifice; spending surge.,Piety; public mood; commerce; legitimacy,3,exact,research_addition,https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Secular_Games,,Ancient/older reference traditions differ on the exact character of the Gallienic celebration; retain as a researched but secondary-priority event.,Religion & Culture,Imperial / Urban,Economy & Finance; Religion; Culture & Education,Medium,Medium,v3
GENS-HIST-0333,267,267,AD 267,Crisis of the Third Century,Goths/Heruli sack Athens,War / Sack,Gothic / Hellenic,Athens,Gothic/Herulian raiders; Athenians,,Raiders captured and sacked Athens during the third-century crisis.,Urban destruction; wall construction; refugee and loot events.,Housing; security; culture,5,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eusb.html,,,Conflict & Security,Regional,Religion; Military & Security; Settlement & Demographics; Construction & Estates; Culture & Education,Critical,High,v1
GENS-HIST-0334,267,267,AD 267,Crisis of the Third Century,Odaenathus assassinated; Zenobia becomes regent for Vaballathus,Succession / Regional Power,Palmyrene / Syrian,Palmyra,Palmyrene court; Roman East,Odaenathus; Zenobia; Vaballathus,The Palmyrene ruler Odaenathus was assassinated; Zenobia assumed effective leadership as regent for her young son.,Great local patron dies; regency politics; caravan taxes; eastern military loyalty.,Politics; trade; diplomacy; security,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-palmyra/,,,Politics & Government,Regional,Politics & Patronage; Economy & Finance; Military & Security; Travel & Trade Routes,Critical,High,v3
GENS-HIST-0335,268,268,AD 268,Crisis of the Third Century,Gallienus assassinated; Claudius II becomes emperor,Imperial Succession / Assassination,Roman,Northern Italy,Roman high command; imperial army,Gallienus; Claudius II Gothicus,Gallienus was killed during the campaign against the usurper Aureolus and Claudius II was acclaimed emperor.,Commander purge; new emperor oath; campaign continues; patron reshuffle.,Politics; military loyalty; security,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,,Politics & Government,Imperial,Politics & Patronage; Military & Security,Critical,High,v3
GENS-HIST-0336,268,269,AD 268–269,Crisis of the Third Century,Battle of Naissus,War / Battle,Roman / Gothic,Naissus,Rome; Gothic forces,Claudius II Gothicus; Gallienus-era commanders,A major Roman victory checked large Gothic incursions.,Captives settled/recruited; frontier relief; prestige.,Security; labor; military morale,4,range,research_addition,https://www.worldhistory.org/timeline/Crisis_of_the_Third_Century/,,,Conflict & Security,Regional,Military & Security; Construction & Estates,High,High,v1
GENS-HIST-0337,269,269,AD 269,Crisis of the Third Century,Postumus killed; Gallic Empire enters rapid succession crisis,Succession / Breakaway State,Gallic / Roman,Gaul,Gallic Empire army and court,Postumus; Laelianus; Marius; Victorinus,"After the long-ruling Postumus suppressed a rival, his own soldiers killed him; the Gallic regime then passed through very short-lived rulers before Victorinus consolidated power.",Local emperor changes; coin portraits change; army mutiny; regional patronage scramble.,Politics; currency; security; trade,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-gaul/,,,Politics & Government,Regional,Politics & Patronage; Economy & Finance; Military & Security; Travel & Trade Routes,Critical,High,v3
GENS-HIST-0338,270,270,AD 270,Crisis of the Third Century,Claudius II dies; Quintillus briefly rules before Aurelian's accession,Imperial Succession,Roman,Balkans and Italy,Roman armies and Senate,Claudius II; Quintillus; Aurelian,Claudius II died during an epidemic; his brother Quintillus briefly held power before the Danubian army backed Aurelian.,Succession whiplash; epidemic fear; competing oath demands.,Politics; public health; military loyalty,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,,Politics & Government,Imperial,Politics & Patronage; Military & Security; Disease & Public Health,Critical,High,v3
GENS-HIST-0339,270,272,AD 270–272,Crisis of the Third Century,Palmyrene Empire under Zenobia,Breakaway State / Civil War,Palmyrene / Syrian,"Syria, Egypt, Anatolia",Palmyrene regime; central Rome,Zenobia; Vaballathus,Palmyra seized control of much of the Roman East before Aurelian's reconquest.,Regional allegiance; alternate taxation; caravan and grain politics.,Trade; loyalty; currency; security,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-late-antiquity-content.md,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_Art_and_Identity_in_the_Ancient_Middle_East.pdf,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security; Travel & Trade Routes,Critical,High,repo
GENS-HIST-0340,270,275,c. AD 270–275,Crisis of the Third Century,Aurelian transforms Rome's annona from grain to bread and expands food benefits,Economy / Annona Reform,Roman,Rome,Urban beneficiaries; bakers; pork suppliers; annona officials,Aurelian,"Aurelian reorganized the Roman food dole around prepared bread rather than raw grain and expanded benefits with pork, increasing state control over processing and distribution.",Household receives bread directly; bakery becomes compulsory supplier; pork market changes; distribution point crowd event.,Food expenses; urban trade; guild obligations; state finance,5,approximate_range,research_addition,https://www.cambridge.org/core/books/falls-of-rome/approaches-to-the-fate-of-the-late-antique-city/A4A1D3E5D4CEFF765C99164BA2684990,,,Economy & Trade,Imperial / Urban,Economy & Finance; Settlement & Demographics,Critical,High,v5
GENS-HIST-0341,270,275,AD 270–275,Crisis of the Third Century,Aurelian's reunification campaigns,Imperial Restoration,Roman,Empire-wide,Central Rome; Palmyrene Empire; Gallic Empire,Aurelian; Zenobia; Tetricus I,Aurelian restored imperial unity and gained the title Restitutor Orbis.,Reconquest; amnesty/purge; monetary and frontier reset.,Security; currency; loyalty,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-late-antiquity-content.md,https://www.worldhistory.org/timeline/Aurelian/,,Conflict & Security,Imperial,Politics & Patronage; Economy & Finance; Military & Security,Critical,High,repo
GENS-HIST-0342,271,271,c. AD 271,Crisis of the Third Century,Victorinus killed; Tetricus I becomes ruler of the Gallic Empire,Succession / Breakaway State,Gallic / Roman,Gaul,Gallic imperial court; Rhine army,Victorinus; Tetricus I; Victoria,Victorinus was killed and Tetricus I became the final major ruler of the Gallic breakaway regime.,New regional court; patron replacement; local currency and titles update.,Politics; currency; trade; security,4,approximate,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-gaul/,,,Politics & Government,Regional,Politics & Patronage; Economy & Finance; Legal & Court; Military & Security,High,High,v3
GENS-HIST-0343,271,274,c. AD 271–274,Crisis of the Third Century,Felicissimus and Rome's mint workers revolt against Aurelian,Urban Revolt / Monetary Crisis,Roman,"Rome, Caelian Hill",Mint workers; imperial troops; some senatorial opponents,Felicissimus; Aurelian,Mint workers involved in adulterated coin production rebelled in Rome and were violently suppressed; the date within Aurelian's reign remains debated.,Mint closes; suspect coins rejected; street fighting; moneychanger panic; senatorial investigation.,Currency; security; trade; politics,5,approximate_range,research_addition,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Historia_Augusta/Aurelian/3%2A.html,,Sources disagree whether the revolt belongs around 270–271 or close to the 274 monetary reform.,Conflict & Security,Imperial / Urban,Politics & Patronage; Economy & Finance; Military & Security; Settlement & Demographics,Critical,High,v4
GENS-HIST-0344,271,275,c. AD 271–275,Crisis of the Third Century,Aurelian abandons Roman Dacia north of the Danube,Frontier Withdrawal / Migration,Dacian / Roman,Dacia and Moesia,Roman army; provincial population; Danubian communities,Aurelian,Ancient sources credit Aurelian with withdrawing troops and at least part of the provincial population from Dacia and reorganizing territory south of the Danube as Dacia.,Evacuation; refugee household; abandoned estate; resettlement grant; frontier land repricing.,Migration; land; security; taxation,5,approximate_range,research_addition,https://pmc.ncbi.nlm.nih.gov/articles/PMC9683583/,,"The timing, pace, and scale of civilian evacuation remain debated; model as a multi-year regional transition, not a single-day emptying of the province.",Infrastructure & Settlement,Regional,Economy & Finance; Military & Security; Settlement & Demographics; Construction & Estates,Critical,Medium,v3
GENS-HIST-0345,271,275,AD 271–275,Crisis of the Third Century,Aurelian Walls built around Rome,Infrastructure / Defense,Roman,Rome,Imperial government; urban labor,Aurelian,Massive walls were built around Rome in response to renewed external threats.,Construction levy; property disruption; defensive confidence.,Labor; materials; security,4,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,,Infrastructure & Settlement,Imperial / Urban,Legal & Court; Military & Security; Construction & Estates,High,High,v1
GENS-HIST-0346,272,272,AD 272,Crisis of the Third Century,Aurelian defeats Zenobia at Immae and Emesa,War / Battle,Roman / Palmyrene,Syria,Rome; Palmyrene Empire,Aurelian; Zenobia,Roman victories broke Palmyrene field resistance.,Eastern regime collapse; surrender/pardon; garrison changes.,Security; politics; trade,5,exact,research_addition,https://www.worldhistory.org/timeline/Aurelian/,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security,Critical,High,v1
GENS-HIST-0347,273,273,AD 273,Crisis of the Third Century,Palmyra revolts again and is devastated,War / Sack,Palmyrene / Syrian,Palmyra,Rome; Palmyrene rebels,Aurelian,A renewed Palmyrene revolt prompted severe Roman retaliation and the city's decline.,City devastation; caravan rerouting; refugee households.,Trade; population; property,5,exact,research_addition,https://www.worldhistory.org/timeline/Aurelian/,,,Conflict & Security,Regional,Economy & Finance; Legal & Court; Military & Security; Settlement & Demographics; Travel & Trade Routes; Construction & Estates,Critical,High,v1
GENS-HIST-0348,274,274,c. AD 274,Crisis of the Third Century,Aurelianic monetary reform,Economy / Monetary Reform,Roman,Empire-wide,Imperial mints; merchants; taxpayers,Aurelian,"Aurelian reformed the badly degraded coinage after imperial reunification, attempting to restore confidence and standardization.",Coin recall/exchange; price repricing; bad-coin losses; mint inspection; merchant uncertainty.,Currency value; prices; savings; taxes; trade,5,approximate,research_addition,https://www.cambridge.org/core/books/abs/money-in-the-preindustrial-world/from-aurelian-to-diocletian-financing-imperial-recovery-by-coinage-debasements-and-fiduciary-currencies/DEB660CD68DA4F956BC84088E3D260BE,,,Economy & Trade,Imperial,Economy & Finance,Critical,High,v2
GENS-HIST-0349,274,274,AD 274,Crisis of the Third Century,Gallic Empire ends,Civil War / Reunification,Gallic / Roman,Gaul,Rome; Gallic Empire,Aurelian; Tetricus I,"Aurelian defeated or accepted the surrender of the Gallic regime, restoring western unity.",Allegiance settlement; coinage/tax harmonization; amnesties.,Currency; politics; trade,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-late-antiquity-content.md,https://www.worldhistory.org/timeline/Crisis_of_the_Third_Century/,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security; Settlement & Demographics,Critical,High,repo
GENS-HIST-0350,274,274,AD 274,Crisis of the Third Century,Temple of Sol Invictus dedicated in Rome,Religion / Imperial Cult,Roman,Rome,Imperial cult; traditional priesthoods,Aurelian,Aurelian established a major state cult center for Sol Invictus as part of imperial religious and ideological consolidation.,Temple festival; priestly appointments; donations; court-favored cult; religious prestige.,Piety; prestige; urban commerce; court favor,3,exact,research_addition,https://www.cambridge.org/core/books/falls-of-rome/approaches-to-the-fate-of-the-late-antique-city/A4A1D3E5D4CEFF765C99164BA2684990,,,Religion & Culture,Imperial / Urban,Politics & Patronage; Economy & Finance; Legal & Court; Religion; Settlement & Demographics; Culture & Education,Medium,High,v2
GENS-HIST-0351,275,275,AD 275,Crisis of the Third Century,Aurelian assassinated,Imperial Succession / Assassination,Roman,Thrace,Imperial staff; army,Aurelian,Aurelian was assassinated while preparing another eastern campaign.,Succession uncertainty; halted campaign; patron turnover.,Stability; military demand,4,exact,research_addition,https://www.worldhistory.org/timeline/Aurelian/,,,Politics & Government,Regional,Politics & Patronage; Military & Security,High,High,v1
GENS-HIST-0352,275,275,AD 275,Crisis of the Third Century,Tacitus chosen emperor after Aurelian's assassination,Imperial Succession,Roman,Rome and eastern army,Senate; Roman army,Tacitus; Aurelian,"After Aurelian's murder, the elderly Tacitus became emperor but survived only months.",Senatorial hopes; new coinage/oaths; delayed eastern campaign.,Politics; patronage; military command,4,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,,Politics & Government,Imperial / Urban,Politics & Patronage; Economy & Finance; Military & Security,High,High,v3
GENS-HIST-0353,276,276,AD 276,Crisis of the Third Century,Tacitus dies; Florian and Probus contest the throne,Civil War / Succession,Roman,Anatolia and Balkans,Florian's troops; Probus's eastern army,Tacitus; Florian; Probus,Tacitus died after a short reign; Florian claimed power but was abandoned and killed as Probus won support.,Claimant choice; army desertion; rapidly changing imperial dispatches.,Politics; military loyalty; security,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,,Conflict & Security,Regional,Politics & Patronage; Military & Security,Critical,High,v3
GENS-HIST-0354,276,282,AD 276–282,Crisis of the Third Century,Probus campaigns on Rhine and Danube frontiers,War / Frontier,Germanic / Roman,Rhine and Danube,Rome; Franks; Alamanni; other groups,Probus,Probus restored frontier control after repeated incursions.,Resettlement; military labor; frontier farming.,Security; labor; land,3,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,,Conflict & Security,Regional,Military & Security; Settlement & Demographics; Construction & Estates,Medium,High,v1
GENS-HIST-0355,280,280,c. AD 280,Crisis of the Third Century,Athens builds new defensive wall,Infrastructure / Defense,Hellenic,Athens,Athenian population; Roman authorities,,Athens fortified a reduced urban core after devastating third-century raids.,Wall labor; property enclosed/excluded; urban contraction.,Property; security; labor,3,approximate,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eusb.html,,,Infrastructure & Settlement,Local / Regional,Economy & Finance; Legal & Court; Military & Security; Settlement & Demographics; Construction & Estates,Medium,Medium,v1
GENS-HIST-0356,280,281,c. AD 280–281,Crisis of the Third Century,Proculus and Bonosus lead western usurpations,Regional Usurpation / Military Revolt,Gallic / Roman,Gaul and Rhine frontier,Provincial armies; Probus regime,Proculus; Bonosus; Probus,Later sources place brief western usurpations by Proculus and Bonosus during Probus's reign.,Frontier claimant; local tax switch; army loyalty; merchant uncertainty.,Politics; security; taxes; trade,3,approximate_range,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,The Historia Augusta is especially problematic for these figures; keep confidence medium and avoid invented detail.,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security,Medium,Medium,v4
GENS-HIST-0357,282,282,AD 282,Crisis of the Third Century,Probus killed by soldiers; Carus becomes emperor,Imperial Succession / Military Coup,Roman,Sirmium / Danube,Roman army; imperial high command,Probus; Carus,Soldiers killed Probus and the praetorian prefect Carus took imperial power.,Army mutiny; new emperor oath; abandoned works/campaign plans.,Politics; military loyalty; patronage,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,,Conflict & Security,Imperial,Politics & Patronage; Military & Security,Critical,High,v3
GENS-HIST-0358,282,283,AD 282–283,Crisis of the Third Century,Carus's Persian campaign,War,Sasanian / Roman,Mesopotamia,Rome; Sasanian Persia,Carus,Emperor Carus campaigned successfully into Mesopotamia before dying.,Eastern army mobilization; sudden succession; trade uncertainty.,Security; taxes; politics,4,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/wai.html,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security,High,High,v1
GENS-HIST-0359,283,283,AD 283,Crisis of the Third Century,Carus dies during Persian campaign; Carinus and Numerian rule,Imperial Succession,Roman,Mesopotamia and Western Empire,Roman eastern and western armies,Carus; Carinus; Numerian,"Carus died during a successful eastern campaign, leaving his sons Carinus and Numerian to rule different halves of the empire.",Sudden army succession; eastern withdrawal; dual courts.,Politics; security; trade,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,,,Politics & Government,Imperial,Politics & Patronage; Economy & Finance; Legal & Court; Military & Security,Critical,High,v3
GENS-HIST-0360,283,283,AD 283,Crisis of the Third Century,Major fires devastate monumental central Rome,Natural Disaster / Urban Fire,Roman,Rome,Urban population; temples; public buildings,Carinus / Numerian era,Ancient reports describe destructive fires affecting the Theatre and Portico of Pompey and a larger blaze along the Sacra Via that damaged major monuments.,Fire insurance-like household loss; lost archives; temple damage; rebuilding contracts.,Property; construction; commerce; public records,5,exact,research_addition,https://penelope.uchicago.edu/Thayer/E/Journals/CJ/27/4/Conflagrations%2A.html,,,Disaster & Public Health,Imperial / Urban,Economy & Finance; Legal & Court; Religion; Settlement & Demographics; Construction & Estates,Critical,High,v3
GENS-HIST-0361,284,284,AD 284,Dominate,Diocletian becomes emperor,Imperial Succession,Roman,Eastern empire,Roman army; imperial government,Diocletian,Diocletian's accession marked the transition out of the Crisis and toward major structural reforms.,Administrative reset; military regime stabilization.,Taxes; offices; stability,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-late-antiquity-content.md,,,Politics & Government,Regional,Politics & Patronage; Economy & Finance; Military & Security,Critical,High,repo
GENS-HIST-0362,284,284,AD 284,Dominate,Numerian dies; eastern army proclaims Diocletian,Imperial Succession / Military Coup,Roman,Nicomedia / eastern army,Numerian's court; Diocletian's army; Carinus,Numerian; Diocletian; Carinus,"After Numerian died under suspicious circumstances, the eastern army proclaimed Diocletian emperor while Carinus remained ruler in the West.",Murder investigation; claimant oath; civil-war preparation.,Politics; military loyalty; court safety,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-3/,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-4/,,Conflict & Security,Imperial,Politics & Patronage; Legal & Court; Military & Security,Critical,High,v3
GENS-HIST-0363,285,285,AD 285,Dominate,Battle of the Margus ends Carinus's rule; Diocletian controls the empire,Civil War / Battle,Roman,Moesia,Diocletian's army; Carinus's army,Diocletian; Carinus,"Diocletian defeated Carinus's regime at the Margus, removing his last major rival.",Civil-war settlement; officer promotion/purge; unit reassignment.,Politics; military loyalty; security,5,exact,research_addition,https://www.livius.org/articles/misc/list-of-roman-emperors/list-of-roman-emperors-4/,,,Conflict & Security,Regional,Politics & Patronage; Military & Security; Settlement & Demographics,Critical,High,v3
GENS-HIST-0364,285,286,AD 285–286,Dominate,Bagaudae uprising challenges Roman authority in Gaul,Regional Revolt / Rural Unrest,Gallic / Roman,Gaul,Bagaudae; Roman administration,Amandus; Aelianus; Maximian,Rural insurgents labeled Bagaudae rose in Gaul early in Diocletian's reign and were suppressed by Maximian.,Estate labor unrest; tax resistance; rural fortified refuge; military suppression.,Security; taxation; labor; land,4,range,research_addition,https://www.cambridge.org/core/books/abs/cambridge-ancient-history/empire-under-diocletian-and-constantine/70D94553771004956ED532D9E72E32CD,,,Conflict & Security,Regional,Economy & Finance; Military & Security; Settlement & Demographics; Construction & Estates,High,Medium,v4
GENS-HIST-0365,285,286,AD 285–286,Dominate,Maximian elevated to co-emperor,Imperial Administration,Roman,Empire-wide,Diocletianic regime,Diocletian; Maximian,Diocletian shared imperial authority with Maximian to manage multiple fronts.,Dual courts; regional patronage; stronger military administration.,Offices; tax; security,3,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eusb.html,,,Politics & Government,Imperial,Politics & Patronage; Economy & Finance; Legal & Court; Military & Security,Medium,High,v1
GENS-HIST-0366,286,296,AD 286–296,Dominate,Carausian Revolt and breakaway Britain,Breakaway State / Civil War,British / Gallic,Britannia and Channel coast,Carausian/Allectan regime; central empire,Carausius; Allectus; Constantius Chlorus,Britain and parts of northern Gaul operated under a breakaway regime before reconquest.,Local emperor allegiance; coinage; trade/customs shifts.,Currency; loyalty; trade,4,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security,High,High,v1
GENS-HIST-0367,293,293,AD 293,Dominate,Tetrarchy established,Imperial Administration / Succession,Roman,Empire-wide,Two Augusti; two Caesars,Diocletian; Maximian; Galerius; Constantius Chlorus,The empire was formally governed by four cooperating rulers.,Regional court; new capital centers; succession expectations.,Administration; patronage; taxation,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-late-antiquity-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eusb.html,,Politics & Government,Imperial,Politics & Patronage; Economy & Finance; Legal & Court,Critical,High,repo
GENS-HIST-0368,294,294,c. AD 294,Dominate,Diocletianic coinage reform,Economy / Monetary Reform,Empire-wide,Empire-wide,Imperial mints; taxpayers; merchants,Diocletian,Diocletian introduced a restructured coinage system including new silver and large copper denominations as part of broader fiscal stabilization.,New denomination rollout; exchange friction; mint supply; accounting conversion.,Currency; prices; taxation; trade,5,approximate,research_addition,https://www.cambridge.org/core/journals/journal-of-roman-studies/article/abs/diocletians-reform-of-the-coinage-a-chronological-note1/FB52386DD903DBE7959EAE7C2F1AD6BC,,The reform unfolded in stages; c. 294 is an implementation anchor rather than a single-day event.,Economy & Trade,Imperial,Economy & Finance; Religion,Critical,Medium,v2
GENS-HIST-0369,296,296,AD 296,Dominate,Constantius reconquers Britain,War / Reunification,British,Britannia,Tetrarchic regime; Allectus,Constantius Chlorus; Allectus,Imperial forces ended the British breakaway regime.,Reintegration; amnesty; currency reset; veteran settlement.,Politics; trade; security,4,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security; Settlement & Demographics,High,High,v1
