slug,name,canonical_family,entity_type,parent_slug,parent_resolution,parent_or_related,relationship_to_parent,presentation_level,adoption_scope,religious_relation_class,theology_model,integration_model,organization_scale,core_tenets,flavor_tags,mechanic_flags,implementation_mode,implementation_readiness,gens_priority,start_year,start_label,end_year,end_label,emergence_band,active_133_bc,active_ad_1,active_ad_235,active_ad_395,active_ad_476,active_ad_565,origin_region,core_regions_during_game,cultures_peoples,key_deities_or_figures,holy_sites_or_centers,authority_model,exclusivity,historical_confidence,attestation_class,historical_label_caution,classification,ck3_role,repo_status,catalog_scope,gameplay_hooks,historical_notes,source_repo,source_history_1,source_history_2,final_pass_status,final_pass_note
jafnid-ghassanid-miaphysite-christianity,Jafnid / Ghassanid Miaphysite Christianity,Christian,Regional branch,miaphysite-christianity,Normalized alias match: Miaphysite Christianity,Miaphysite Christianity,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive; Charitable/Communal,Exclusive; Miaphysite; Charitable/Communal; Federate-Patronage,Doctrine suppression; Charity/communal policy,Primary religion/community state,Ready for content design,Tier 2 — Major regional,500,Miaphysite patronage among Jafnid/Ghassanid elites becomes important in the sixth century,,Continues beyond AD 565,AD 477–565,N,N,N,N,N,Y,Roman eastern frontier / Arabia,"Syria, Arabia and Roman federate zones",Jafnid/Ghassanid Arabs and Syriac Christians,Miaphysite bishops; Jafnid patrons,Syrian and Arabian churches/monasteries,Bishops and elite federate patronage,Exclusive,High,Well attested,,Arab federate regional Christianity,Regional branch,Roman-Arab diplomacy; Miaphysite patronage; monasteries; frontier military politics,Religion / branch,"A major late-game bridge between Arabian culture, Roman diplomacy and non-Chalcedonian Christianity.",https://www.cambridge.org/core/books/abs/preislamic-arabia/an-introduction-to-the-study-of-preislamic-arabia/1ECAF2010D2CA3D38EE1E281EF6ED009,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://www.cambridge.org/core/books/abs/cambridge-history-of-christianity/beyond-empire-i-eastern-christianities-from-the-persian-to-the-turkish-conquest-6041071/D1B53B74FE3F7C16DA22176E1AFB4E31,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
armenian-apostolic-christianity-non-chalcedonian,Armenian Apostolic Christianity (Non-Chalcedonian),Christian,Regional branch,miaphysite-christianity,Normalized alias match: Miaphysite tradition,Armenian Christianity + Miaphysite tradition,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive,Exclusive; Episcopal; Miaphysite; National-Church,Doctrine suppression,Primary religion/community state,Ready for content design,Tier 2 — Major regional,506,Armenian church decisively rejects Chalcedon at Dvin in early 6th c.,,Persists beyond AD 565,AD 477–565,N,N,N,N,N,Y,Armenia,Armenia and diaspora,Armenian Christians,Gregory the Illuminator tradition; Armenian bishops,Etchmiadzin and Armenian sacred centers,Catholicos and bishops,Exclusive Christian,High,Well attested,,Regional apostolic church,Independent church / rival orthodoxy,Late-timeline extension,Religion / branch,"Armenian identity, Persian/Byzantine pressure, noble politics",Christianity is earlier in Armenia; 506 marks the clearer non-Chalcedonian institutional position.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Council_of_Chalcedon/,https://www.worldhistory.org/article/1253/the-differences-between-byzantine--armenian-christ/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
severan-miaphysitism,Severan Miaphysitism,Christian,School / religio-philosophical movement,miaphysite-christianity,Normalized alias match: Miaphysite Christianity,Miaphysite Christianity,School / intellectual movement within wider tradition,Intellectual School,Character intellectual/religious affiliation,Competing-exclusive,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,,Miaphysite; Anti-Chalcedonian; Episcopal; Ascetic,,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,512,Severus becomes patriarch of Antioch in AD 512,,Persists beyond AD 565 in Syriac and Coptic non-Chalcedonian traditions,AD 477–565,N,N,N,N,N,Y,Antioch / Syria,"Syria, Egypt, eastern Mediterranean",Non-Chalcedonian Christians,Severus of Antioch,Antioch; Egyptian exile centers; Syrian monasteries,Bishops and monastic networks,Exclusive Christian church stream,High,Well attested,,Non-Chalcedonian theological school / church stream,Rival orthodoxy / regional branch,New CK3-style expansion,Sect / schism / school,"Chalcedonian conflict, imperial deposition, Syrian/Egyptian church networks",A more precise late-game non-Chalcedonian stream than treating all opponents of Chalcedon as one 'Monophysite' bloc.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.encyclopedia.com/religion/encyclopedias-almanacs-transcripts-and-maps/severus-antioch,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
syriac-miaphysite-jacobite-stream,Syriac Miaphysite / Jacobite Stream,Christian,Regional branch,miaphysite-christianity,Normalized alias match: Miaphysite Christianity,Miaphysite Christianity,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive,Exclusive; Episcopal; Miaphysite; Syriac,Doctrine suppression; Persecution/proscription,Primary religion/community state,Ready for content design,Tier 2 — Major regional,518,Non-Chalcedonian Syriac networks deepen after imperial persecution; organization strengthened by Jacob Baradaeus from 540s,,Persists beyond AD 565,AD 477–565,N,N,N,N,N,Y,Syria / Mesopotamia,Syria and upper Mesopotamia,Syriac Christians,Severus of Antioch; Jacob Baradaeus,Antiochine/Syriac sees and monasteries,Bishops/monastic networks,Exclusive Christian,High,Well attested,,Regional church network,Independent church / rival orthodoxy,Late-timeline extension,Religion / branch,"Underground ordinations, imperial persecution, Syriac identity",By the 540s this becomes a very important late-game religious network.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Council_of_Chalcedon/,https://en.wikipedia.org/wiki/Syriac_Orthodox_Church,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
julianist-aphthartodocetism,Julianist / Aphthartodocetism,Christian,Sect / heterodox movement,miaphysite-christianity,Normalized alias match: Miaphysite Christianity,Miaphysite Christianity,Sect / contested branch of parent,Organized Sect / Church,Character/community primary affiliation,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,,Miaphysite; Incorruptibility-Christology; Anti-Severan,Monastic institutions; Religious controversy,Primary religion/community state,Ready for event/light content,Tier 3 — Event/sect,520,6th-century dispute associated with Julian of Halicarnassus,,Continues beyond AD 565 in smaller non-Chalcedonian communities,AD 477–565,N,N,N,N,N,Y,Eastern Mediterranean / Egypt,"Egypt, Syria and related non-Chalcedonian networks",Julianist Christians,Julian of Halicarnassus; Severus of Antioch as principal opponent,Egyptian and eastern monastic networks,Bishops and monastic teachers,Exclusive Christian sect,High,Well attested,"Umbrella scholarly/heresiological category, not necessarily one organized historical church.",Non-Chalcedonian sect,Heresy / rival school,New CK3-style expansion,Sect / schism / school,"Late-game intra-Miaphysite schism, monastic politics, doctrinal controversy","A real sixth-century split inside the non-Chalcedonian camp, useful for making late-game Christianity less monolithic.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://ccel.org/ccel/wace/biodict.html?term=Aphthartodocetae%2C+a+sect+of+Monophysites,https://en.wikisource.org/wiki/Dictionary_of_Christian_Biography_and_Literature_to_the_End_of_the_Sixth_Century/Aphthartodocetae,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
nobatian-christianity,Nobatian Christianity,Christian,Regional branch,coptic-non-chalcedonian-christianity,Normalized alias match: Coptic Non-Chalcedonian Christianity,Coptic Non-Chalcedonian Christianity / Byzantine missionary Christianity,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive; State-Sponsored; Charitable/Communal,Exclusive; Missionary; State-Sponsored; Charitable/Communal,Priesthood; Doctrine suppression; Charity/communal policy; Mission/conversion; Dynastic legitimacy,Primary religion/community state,Ready for content design,Tier 2 — Major regional,543,Nobatia converts in the mid-sixth century through missions connected to the Byzantine court and Alexandrian Christianity,,Continues beyond AD 565,AD 477–565,N,N,N,N,N,Y,Lower Nubia / Nobatia,Lower Nubia south of Egypt,Nobatian rulers and Christianizing Nubian communities,Nubian rulers; Byzantine/Alexandrian missionaries; Miaphysite-linked clergy,Nobatian royal centers and early churches,Royal-backed bishops and missionary networks,Exclusive,High,Well attested,,Nubian royal Christianity,Late-timeline regional church,Final-pass expansion,Religion / branch,Royal conversion; Byzantine diplomacy; Alexandrian church ties; replacement of older temple cults,Nubia's mid-sixth-century Christianization falls squarely at the end of the Gens horizon and should be available in the final decades.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.cambridge.org/core/journals/antiquity/article/costumes-of-prestige-and-authority-in-christian-nubia-insights-from-archaeological-reconstruction/E18904093E1C654A2F66572470D0C283,https://www.cambridge.org/core/books/abs/worlds-of-byzantium/makurian-visual-culture/B64DC958321B126D7209BF7BEDC22E24,Added in finalized pass,Final bounded gap-fill added after repo and historical cross-check.
tritheism-6th-century-miaphysite-controversy,Tritheism (6th-century Miaphysite controversy),Christian,Sect / heterodox movement,miaphysite-christianity,Normalized alias match: Miaphysite Christianity,Miaphysite Christianity,Sect / contested branch of parent,Organized Sect / Church,Character/community primary affiliation,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,,Miaphysite-context; Tritheist-label; Philosophical-Theology,Religious controversy,Primary religion/community state,Ready for event/light content,Tier 3 — Event/sect,550,Mid-6th-century controversy,,Extends beyond AD 565 in small circles,AD 477–565,N,N,N,N,N,Y,Antioch / Constantinople,Eastern Roman Empire,Small Miaphysite theological circles,John Philoponus; John Ascunages; Conon of Tarsus; Eugenius of Seleucia,Antioch; Constantinople,Teachers and dissident bishops,Exclusive Christian sect,Medium–High,Moderately attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Trinitarian theological sect,Heresy / theological school,New CK3-style expansion,Sect / schism / school,"Very-late-game theological crisis, philosopher-theologians, episcopal condemnation",A small movement near the very end of Gens' current AD 565 horizon; best as event-driven content rather than a broad map faith.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.newadvent.org/cathen/15061b.htm,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
makurian-christianity-edge-of-window,Makurian Christianity (edge-of-window),Christian,Regional branch,nobatian-christianity,Normalized alias match: Nubian Royal Christianity,Nubian Royal Christianity / Chalcedonian and Alexandrian missionary competition,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Christian monotheism,Exclusive / competitive,State / civic institution,Exclusive; State-Sponsored,Exclusive; Missionary; State-Sponsored,Priesthood; Doctrine suppression; Mission/conversion; Dynastic legitimacy,Primary religion/community state,Caution — date-gated,Tier 2 — Major regional,560,Makuria's conversion is generally placed in the later sixth century; exact chronology around AD 565 is uncertain,,Continues far beyond AD 565,AD 477–565,N,N,N,N,N,Y,Middle Nubia / Makuria,Middle Nile / Makuria,Makurian rulers and Nubian communities,Makurian kings; Byzantine/Alexandrian missionaries,Early Makurian church centers; later Dongola becomes central,Royal-backed church,Exclusive,Medium,Moderately attested,Chronology is close to the AD 565 boundary; use event gating rather than assuming universal availability.,Nubian royal Christianity,Edge-of-window regional church,Final-pass expansion,Religion / branch,Very-late-game royal conversion; Byzantine influence; competition over ecclesiastical alignment,Keep this as an edge-of-window event/availability flag rather than a confidently established AD 565 map-wide faith; scholarship places full conversion toward the end of the sixth century.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.cambridge.org/core/books/abs/worlds-of-byzantium/makurian-visual-culture/B64DC958321B126D7209BF7BEDC22E24,https://www.cambridge.org/core/journals/antiquity/article/costumes-of-prestige-and-authority-in-christian-nubia-insights-from-archaeological-reconstruction/E18904093E1C654A2F66572470D0C283,Added in finalized pass,Final bounded gap-fill added after repo and historical cross-check.
pictish-columban-christianity,Pictish / Columban Christianity,Christian,Regional branch,chalcedonian-christianity,Christian chronology heuristic: post-Chalcedon default,Early Irish Christianity + British Christianity,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Christian monotheism,Exclusive / competitive,Monastic network,Exclusive,Exclusive; Missionary; Monastic,Doctrine suppression; Monastic institutions; Mission/conversion,Primary religion/community state,Ready for content design,Tier 2 — Major regional,563,Iona founded c. AD 563; mission to Pictish kingdoms begins at the game's endpoint,,Continues beyond AD 565,AD 477–565,N,N,N,N,N,Y,Iona / northern Britain,Iona and Pictland,Irish monastics; Pictish converts,Columba; King Bridei/Brude in later tradition,Iona; Pictish royal centers,Monastic mission networks,Exclusive,Medium–High,Moderately attested,,Missionary regional Christianity,Late-timeline regional branch,Very-late-game conversion frontier; diplomacy with Pictish rulers; monastery foundations,Religion / branch,This sits exactly at the AD 565 edge and should mostly be event content in the base historical horizon.,https://assets.cambridge.org/97805215/86023/excerpt/9780521586023_excerpt.pdf,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://www.cambridge.org/core/books/abs/picts-reimagined/conclusions/D99219278C55154261D8CE5DDA56F574,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
egyptian-religion,Egyptian Religion,Egyptian / Hellenistic Egyptian,Religion / base tradition,,Base/contact layer: no parent required,Ancient Egyptian temple religion,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic; State-Sponsored; Oracular,Syncretic; State-Sponsored; Oracular; Funerary,Oracle/Auspices; Priesthood; Syncretism; Funerary/ancestor systems,Primary religion/community state,Ready for content design,Tier 1 — Core,,Ancient; pre-133 BC,450,Major temples close or convert across 4th–6th c.; Philae remains active into 6th c.,Pre-game / ancient,Y,Y,Y,Y,N,N,Egypt,Nile Valley and Egyptian diaspora,Egyptians; Hellenized Egyptians,"Amun, Isis, Osiris, Horus, Ptah, Hathor, Thoth",Memphis; Heliopolis; Philae; Siwa,Temple priesthoods and local cult centers,Mostly additive,High,Well attested,,Religion / temple polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Temple economy, oracle, funerary rites, Nile legitimacy",Distinguish native temple religion from exported Isis/Serapis mysteries.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Egyptian_Religion/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
oracle-cult-of-amun-at-siwa,Oracle Cult of Amun at Siwa,Egyptian / Hellenistic Egyptian,Cult / devotion,egyptian-religion,Normalized alias match: Egyptian Religion,Egyptian Religion + Libyan local tradition,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic; Oracular,Oracular; Pilgrimage; Syncretic,Oracle/Auspices; Syncretism; Pilgrimage,Overlay system,Ready for event/light content,Tier 3 — Enrichment,,Ancient; pre-133 BC,400,Declines in late antiquity,Pre-game / ancient,Y,Y,Y,Y,N,N,Siwa Oasis,Egypt/Libyan desert pilgrimage network,"Egyptians, Libyans, Greek/Roman pilgrims",Amun/Ammon,Siwa Oasis,Oracle priesthood,Additive,High,Well attested,,Oracle cult,Holy-site cult,Existing holy-site concept,Cult / devotion layer,"Long-distance oracle travel, legitimacy, desert risk",Repo already names Siwa as a holy site; this makes the cult playable as a site tradition.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Siwa_Oasis,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-isis,Cult of Isis,Egyptian / Hellenistic Egyptian,Mystery cult,egyptian-religion,Normalized alias match: Egyptian Religion,Egyptian Religion,Cult or devotion within/alongside parent,Mystery Membership,Individual initiatory membership,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic; Initiatory,Initiatory; Healing; Maritime; Syncretic,Initiation; Syncretism; Travel/navigation; Healing/pilgrimage,Overlay system,Ready for content design,Tier 2 — Major regional,-300,Hellenistic export form develops before game start,400,Declines under Christianization,Pre-game / ancient,Y,Y,Y,Y,N,N,Egypt / Hellenistic Mediterranean,"Empire-wide, especially ports and cities",Cosmopolitan devotees,Isis; Osiris/Serapis associations,Philae; Rome’s Iseum; Mediterranean temples,Temple/cult priesthoods,Additive,High,Well attested,,Mystery/personal cult,Mystery cult,Named cult in existing catalog,Cult / devotion layer,"Initiation, healing, travel protection, foreign-cult controversy",One of the most successful exported cults in the Roman world.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Mystery_Cults/,https://www.worldhistory.org/Isis/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-serapis,Cult of Serapis,Egyptian / Hellenistic Egyptian,Mystery cult,egyptian-religion,Normalized alias match: Egyptian Religion,Egyptian Religion + Hellenic religious idiom,Cult or devotion within/alongside parent,Mystery Membership,Individual initiatory membership,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic; Initiatory; Deliberately-Syncretic,Deliberately-Syncretic; Initiatory; Healing; Underworld,Initiation; Syncretism; Healing/pilgrimage,Overlay system,Ready for content design,Tier 2 — Major regional,-300,Ptolemaic-era formation in early Hellenistic Egypt,391,Serapeum of Alexandria destroyed in AD 391; cult declines,Pre-game / ancient,Y,Y,Y,N,N,N,Alexandria,Egypt and Mediterranean cities,"Greeks, Egyptians, cosmopolitan urban populations",Serapis,Alexandria Serapeum,Temple priesthoods,Additive,High,Well attested,,Deliberately syncretic cult,Syncretic mystery/civic cult,Named cult in existing catalog,Cult / devotion layer,"Alexandrian politics, syncretism, healing, urban riots",Repo correctly treats Serapis as a rare deliberately engineered syncretic cult.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Serapis/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
hermeticism,Hermeticism,Egyptian / Hellenistic Egyptian,School / religio-philosophical movement,,No single parent resolved,Egyptian + Hellenic philosophical religion,Base / independent / unresolved relationship,Intellectual School,Character intellectual/religious affiliation,Competing-exclusive,Philosophical / esoteric religious school,Exclusive / competitive,Transregional ecclesiastical hierarchy,,Esoteric; Gnostic-adjacent; Astrological; Philosophical,,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,50,Hermetic texts largely date from 1st–3rd c. AD,500,Texts and ideas persist into late antiquity,133 BC–AD 235,N,N,Y,Y,Y,N,Roman Egypt,Egypt and learned Mediterranean circles,Literate urban elites,Hermes Trismegistus,Egyptian urban intellectual centers,Teacher-text networks; no central hierarchy,Generally non-exclusive,High,Well attested,,Esoteric religious-philosophical movement,Esoteric school,Late-timeline extension,Sect / schism / school,"Alchemy/astrology scholarship, secret texts, philosophical characters",Better modeled as an esoteric school overlay than territorial faith.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Hermeticism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
batavian-germanic-cult-tradition,Batavian Germanic Cult Tradition,Germanic / Rhine,Regional branch,germanic-paganism,Normalized alias match: Germanic Paganism,Germanic Paganism,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic; Martial-Coded,Syncretic; Martial-Coded; Local-Cult,Syncretism; Military affinity,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Pre-Roman Rhine-delta tradition,400,Roman military integration and later Christianization blur the distinct cult profile,Pre-game / ancient,Y,Y,Y,Y,N,N,Rhine delta,"Batavian territory, Germania Inferior and Roman military diaspora",Batavians and related Rhine communities,Regional Germanic gods under interpretatio romana,Rhine-delta sanctuaries and military contexts,Local cult + military devotees,Additive / syncretic,Medium,Moderately attested,,Regional Germanic polytheism,Regional branch,Auxiliary recruitment; military cult diffusion; Rhine frontier identity,Religion / branch,The culture doc explicitly gives Batavians separate military texture even while folding them into broader Germanic religion.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://www.cambridge.org/core/books/abs/handbook-of-religions-in-ancient-europe/slavic-religion/A338CEFA62CFED01A38DD023230A69E5D,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
frankish-paganism,Frankish Paganism,Germanic / Rhine,Regional branch,germanic-paganism,Normalized alias match: Germanic Paganism,Germanic Paganism,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Syncretic; Martial-Coded; Thin-Record,Syncretic; Martial-Coded; Thin-Record,Syncretism; Military affinity,Primary religion/community state,Research-limited — light mechanics,Tier 3 — Enrichment,,Pre-Christian Frankish tradition,600,Royal conversion under Clovis c. 500 accelerates but does not instantly erase pagan practice,Pre-game / ancient,Y,Y,Y,Y,Y,Y,Lower Rhine / northern Gaul,Frankish territories in northern Gaul and Germania,Franks,Germanic gods and local cults; specific Frankish reconstruction is limited,Frankish local sacred sites,Local and elite ritual practice,Additive / local,Medium,Thin / reconstructed,"Surviving evidence is thin; avoid over-specific doctrine, deity lists or institutional claims.",Regional Germanic polytheism,Regional base faith,Migration-era identity; royal conversion; frontier war bands; local cult persistence,Religion / branch,Keep theology broad: the evidence for specifically Frankish pagan doctrine is limited compared with later Norse material.,https://www.cambridge.org/core/books/abs/shifting-ethnic-identities-in-spain-and-gaul-500700/from-a-roman-to-a-frankish-world-in-merovingian-gaul/3540B182EC01A2AF489D0BC2B5E51EC7,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-about.md,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
germanic-paganism,Germanic Paganism,Germanic / Rhine,Religion / base tradition,,Base/contact layer: no parent required,Regional Germanic polytheisms,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Competing-exclusive,Polytheist / plural cult system,Exclusive / competitive,Diffuse / decentralized,Syncretic; Martial-Coded,Syncretic; Martial-Coded; Sacred-Groves,Syncretism; Military affinity,Primary religion/community state,Ready for content design,Tier 1 — Core,,Ancient; pre-133 BC,,Persists beyond AD 565 in northern Europe,Pre-game / ancient,Y,Y,Y,Y,Y,Y,Central/northern Europe,Germania and migration-era successor kingdoms,Germanic peoples,"Wodan/Odin-type, Tiw/Tyr-type, Donar/Thor-type deities; local cults",Tribal sanctuaries and sacred groves,Tribal/local ritual specialists,Non-exclusive / communal,Medium,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Ethnic / tribal polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Frontier diplomacy, warbands, conversion events","Roman sources use interpretatio romana, so specific names vary by time/place.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Germanic_Tribes/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-hercules-magusanus,Cult of Hercules Magusanus,Germanic / Rhine,Cult / devotion,batavian-germanic-cult-tradition,Normalized alias match: Batavian Germanic Cult Tradition,Batavian Germanic Cult Tradition,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic; Martial-Coded,Syncretic; Martial-Coded; Civic-Identity,Syncretism; Military affinity; Local civic standing,Overlay system,Ready for content design,Tier 2 — Major regional,-20,Early imperial Batavian-Roman syncretism; likely rooted in pre-conquest local religion,350,Distinct cult fades with late Roman transformation and Christianization,133 BC–AD 235,N,Y,Y,N,N,N,Lower Rhine / Batavian territory,"Germania Inferior, Batavian/Tungrian areas, military diaspora including Britain",Batavians; Tungri; Roman auxiliaries,Hercules Magusanus; local Germanic divine counterpart(s),Lower Rhine sanctuaries; military dedications; Xanten region,Civic and military cult networks,Additive / syncretic,High,Well attested,,Batavian / Lower Rhine syncretic civic cult,Major regional cult,Final-pass expansion,Cult / devotion layer,Auxiliary recruitment; warrior identity; foundation myth; Romanization; military vows,Scholarship treats Hercules as unusually important to Batavian collective identity within the Roman imperial system.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C6814F165C4BFCEFDBC266129AF0611E/9789048505357c11_p235-250_CBO.pdf/hercules-and-the-construction-of-a-batavian-identity-in-the-context-of-the-roman-empire.pdf,https://www.cambridge.org/core/books/rome-an-empire-of-many-nations/roman-theologies-in-the-roman-cities-of-italy-and-the-provinces/1752235277C52C70371C18C1C245B290,Added in finalized pass,Final bounded gap-fill added after repo and historical cross-check.
gothic-paganism,Gothic Paganism,Germanic / Rhine,Regional branch,germanic-paganism,Normalized alias match: Germanic Paganism,Germanic Paganism,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Syncretic; Martial-Coded,Martial-Coded; Tribal; Syncretic,Syncretism; Military affinity,Primary religion/community state,Ready for content design,Tier 2 — Major regional,100,Distinct Gothic political communities visible in Roman sources by early centuries AD,400,"Large Gothic populations Christianize, though pagan survivals continue",133 BC–AD 235,N,N,Y,Y,N,N,Black Sea / Danube frontier,Gothic territories and migration routes,Goths,Germanic/Gothic gods; ancestor and war cults,Regional sanctuaries,Tribal elites and ritual specialists,Communal,Medium,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Ethnic / tribal polytheism,Regional branch,New CK3-style expansion,Religion / branch,"Gothic conversion chains, frontier politics",Useful as parent for Gothic Arian Christianity later.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Goths/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
